Sample,Time,Counts,SampleType
Clinical sample A,7.603,0,Clinical
Clinical sample A,7.609,0,Clinical
Clinical sample A,7.614,0,Clinical
Clinical sample A,7.62,0,Clinical
Clinical sample A,7.625,0,Clinical
Clinical sample A,7.631,0,Clinical
Clinical sample A,7.636,0,Clinical
Clinical sample A,7.642,518.4961548,Clinical
Clinical sample A,7.647,0,Clinical
Clinical sample A,7.653,646.4952393,Clinical
Clinical sample A,7.659,0,Clinical
Clinical sample A,7.664,1527.66333,Clinical
Clinical sample A,7.67,2705.799316,Clinical
Clinical sample A,7.675,4751.426758,Clinical
Clinical sample A,7.681,11814.76172,Clinical
Clinical sample A,7.686,26882.20313,Clinical
Clinical sample A,7.692,53397.83984,Clinical
Clinical sample A,7.697,101480.0078,Clinical
Clinical sample A,7.703,164404.4375,Clinical
Clinical sample A,7.708,222057.3125,Clinical
Clinical sample A,7.714,275285.5313,Clinical
Clinical sample A,7.72,308083.25,Clinical
Clinical sample A,7.725,320970.25,Clinical
Clinical sample A,7.731,320929.125,Clinical
Clinical sample A,7.736,309768.0625,Clinical
Clinical sample A,7.742,292353.7813,Clinical
Clinical sample A,7.747,268830.4063,Clinical
Clinical sample A,7.753,248628.625,Clinical
Clinical sample A,7.758,214139,Clinical
Clinical sample A,7.764,182846.4688,Clinical
Clinical sample A,7.769,160579.9063,Clinical
Clinical sample A,7.775,137244.0938,Clinical
Clinical sample A,7.78,115414.5703,Clinical
Clinical sample A,7.786,94661.28125,Clinical
Clinical sample A,7.792,82526.71875,Clinical
Clinical sample A,7.797,65657.46094,Clinical
Clinical sample A,7.803,54054.15234,Clinical
Clinical sample A,7.808,45489.21875,Clinical
Clinical sample A,7.814,38797.42188,Clinical
Clinical sample A,7.819,33127.21094,Clinical
Clinical sample A,7.825,30398.46875,Clinical
Clinical sample A,7.83,24725.82031,Clinical
Clinical sample A,7.836,21011.83594,Clinical
Clinical sample A,7.841,17662.7207,Clinical
Clinical sample A,7.847,14412.29102,Clinical
Clinical sample A,7.852,13626.4502,Clinical
Clinical sample A,7.858,11897.30176,Clinical
Clinical sample A,7.864,10021.32031,Clinical
Clinical sample A,7.869,8562.629883,Clinical
Clinical sample A,7.875,6271.112305,Clinical
Clinical sample A,7.88,6121.94873,Clinical
Clinical sample A,7.886,5230.716309,Clinical
Clinical sample A,7.891,5189.157715,Clinical
Clinical sample A,7.897,4822.86377,Clinical
Clinical sample A,7.902,4546.387207,Clinical
Clinical sample A,7.908,4926.140137,Clinical
Clinical sample A,7.913,4035.408203,Clinical
Clinical sample A,7.919,4527.836914,Clinical
Clinical sample A,7.924,4866.997559,Clinical
Clinical sample A,7.93,4159.728027,Clinical
Clinical sample A,7.936,3512.986572,Clinical
Clinical sample A,7.941,3942.684326,Clinical
Clinical sample A,7.947,3610.154053,Clinical
Clinical sample A,7.952,3798.506348,Clinical
Clinical sample A,7.958,3786.734863,Clinical
Clinical sample A,7.963,3282.119629,Clinical
Clinical sample A,7.969,3491.325195,Clinical
Clinical sample A,7.974,3500.176025,Clinical
Clinical sample A,7.98,3601.230225,Clinical
Clinical sample A,7.985,3299.170654,Clinical
Clinical sample A,7.991,2786.860352,Clinical
Clinical sample A,7.996,2741.647705,Clinical
Clinical sample B,7.603,0,Clinical
Clinical sample B,7.608,0,Clinical
Clinical sample B,7.614,0,Clinical
Clinical sample B,7.619,0,Clinical
Clinical sample B,7.625,0,Clinical
Clinical sample B,7.63,0,Clinical
Clinical sample B,7.636,0,Clinical
Clinical sample B,7.641,0,Clinical
Clinical sample B,7.647,0,Clinical
Clinical sample B,7.652,0,Clinical
Clinical sample B,7.658,0,Clinical
Clinical sample B,7.664,0,Clinical
Clinical sample B,7.669,0,Clinical
Clinical sample B,7.675,0,Clinical
Clinical sample B,7.68,0,Clinical
Clinical sample B,7.686,842.3649902,Clinical
Clinical sample B,7.691,1269.520142,Clinical
Clinical sample B,7.697,2541.216309,Clinical
Clinical sample B,7.702,5227.885254,Clinical
Clinical sample B,7.708,10210.99121,Clinical
Clinical sample B,7.713,19675.42578,Clinical
Clinical sample B,7.719,30990.10547,Clinical
Clinical sample B,7.724,44058.60547,Clinical
Clinical sample B,7.73,59937.53906,Clinical
Clinical sample B,7.736,76777.78125,Clinical
Clinical sample B,7.741,82166.17969,Clinical
Clinical sample B,7.747,87338.13281,Clinical
Clinical sample B,7.752,83655.65625,Clinical
Clinical sample B,7.758,77325.72656,Clinical
Clinical sample B,7.763,61219.40234,Clinical
Clinical sample B,7.769,53681.96094,Clinical
Clinical sample B,7.774,40461.66797,Clinical
Clinical sample B,7.78,31623.41602,Clinical
Clinical sample B,7.785,24769.48828,Clinical
Clinical sample B,7.791,19394.79688,Clinical
Clinical sample B,7.796,15104.78125,Clinical
Clinical sample B,7.802,12322.66211,Clinical
Clinical sample B,7.808,9623.764648,Clinical
Clinical sample B,7.813,7808.360352,Clinical
Clinical sample B,7.819,6620.847168,Clinical
Clinical sample B,7.824,4967.59668,Clinical
Clinical sample B,7.83,4027.139648,Clinical
Clinical sample B,7.835,3492.986328,Clinical
Clinical sample B,7.841,2761.094482,Clinical
Clinical sample B,7.846,2795.082275,Clinical
Clinical sample B,7.852,2152.968994,Clinical
Clinical sample B,7.857,1778.150024,Clinical
Clinical sample B,7.863,1947.870605,Clinical
Clinical sample B,7.868,1561.256226,Clinical
Clinical sample B,7.874,1481.38269,Clinical
Clinical sample B,7.88,1629.699097,Clinical
Clinical sample B,7.885,1240.259155,Clinical
Clinical sample B,7.891,1024.041138,Clinical
Clinical sample B,7.896,1013.601624,Clinical
Clinical sample B,7.902,1086.188477,Clinical
Clinical sample B,7.907,926.0783691,Clinical
Clinical sample B,7.913,839.9899292,Clinical
Clinical sample B,7.918,0,Clinical
Clinical sample B,7.924,1075.008667,Clinical
Clinical sample B,7.929,1014.66394,Clinical
Clinical sample B,7.935,825.4226074,Clinical
Clinical sample B,7.94,774.0863647,Clinical
Clinical sample B,7.946,0,Clinical
Clinical sample B,7.952,413.8017273,Clinical
Clinical sample B,7.957,831.2354126,Clinical
Clinical sample B,7.963,569.7120361,Clinical
Clinical sample B,7.968,682.0083618,Clinical
Clinical sample B,7.974,620.6363525,Clinical
Clinical sample B,7.979,836.8137817,Clinical
Clinical sample B,7.985,0,Clinical
Clinical sample B,7.99,748.0856323,Clinical
Clinical sample B,7.996,0,Clinical
100 uM standard,7.601,0,Standard
100 uM standard,7.607,0,Standard
100 uM standard,7.612,0,Standard
100 uM standard,7.618,0,Standard
100 uM standard,7.623,0,Standard
100 uM standard,7.629,0,Standard
100 uM standard,7.634,0,Standard
100 uM standard,7.64,0,Standard
100 uM standard,7.645,0,Standard
100 uM standard,7.651,0,Standard
100 uM standard,7.656,0,Standard
100 uM standard,7.662,708.8171997,Standard
100 uM standard,7.667,1316.973877,Standard
100 uM standard,7.672,1645.940674,Standard
100 uM standard,7.678,3298.052002,Standard
100 uM standard,7.683,5589.170898,Standard
100 uM standard,7.689,7957.601074,Standard
100 uM standard,7.694,15575.81641,Standard
100 uM standard,7.7,25792.50391,Standard
100 uM standard,7.705,41842.64844,Standard
100 uM standard,7.711,66889.33594,Standard
100 uM standard,7.716,101617,Standard
100 uM standard,7.722,154558.0781,Standard
100 uM standard,7.727,219272.5313,Standard
100 uM standard,7.733,289071.3125,Standard
100 uM standard,7.738,354755.4375,Standard
100 uM standard,7.744,435264.0938,Standard
100 uM standard,7.749,484691.4375,Standard
100 uM standard,7.755,512152.2813,Standard
100 uM standard,7.76,489016.1563,Standard
100 uM standard,7.766,468481.9063,Standard
100 uM standard,7.771,400148.0625,Standard
100 uM standard,7.777,327436.5313,Standard
100 uM standard,7.782,255441.5156,Standard
100 uM standard,7.788,193897.1719,Standard
100 uM standard,7.793,137278.7344,Standard
100 uM standard,7.799,97484.15625,Standard
100 uM standard,7.804,65643.89063,Standard
100 uM standard,7.809,46340.65234,Standard
100 uM standard,7.815,31771.16406,Standard
100 uM standard,7.82,22538.89648,Standard
100 uM standard,7.826,15975.4043,Standard
100 uM standard,7.831,13444.42969,Standard
100 uM standard,7.837,10575.05957,Standard
100 uM standard,7.842,7572.067383,Standard
100 uM standard,7.848,6723.037109,Standard
100 uM standard,7.853,4131.380859,Standard
100 uM standard,7.859,4126.826172,Standard
100 uM standard,7.864,2987.348633,Standard
100 uM standard,7.87,2429.030762,Standard
100 uM standard,7.875,2376.134521,Standard
100 uM standard,7.881,1908.605347,Standard
100 uM standard,7.886,1513.890625,Standard
100 uM standard,7.892,1431.640015,Standard
100 uM standard,7.897,1613.583008,Standard
100 uM standard,7.903,1814.973389,Standard
100 uM standard,7.908,1206.811768,Standard
100 uM standard,7.914,1265.501221,Standard
100 uM standard,7.919,975.0296021,Standard
100 uM standard,7.925,1137.294067,Standard
100 uM standard,7.93,975.7650757,Standard
100 uM standard,7.935,937.7264404,Standard
100 uM standard,7.941,1060.133301,Standard
100 uM standard,7.946,803.0006104,Standard
100 uM standard,7.952,794.4031372,Standard
100 uM standard,7.957,942.5635986,Standard
100 uM standard,7.963,0,Standard
100 uM standard,7.968,847.6173096,Standard
100 uM standard,7.974,0,Standard
100 uM standard,7.979,798.5314941,Standard
100 uM standard,7.985,512.6538696,Standard
100 uM standard,7.99,880.6764526,Standard
100 uM standard,7.996,0,Standard
10 uM standard,7.604,0,Standard
10 uM standard,7.609,0,Standard
10 uM standard,7.615,0,Standard
10 uM standard,7.62,0,Standard
10 uM standard,7.626,0,Standard
10 uM standard,7.631,0,Standard
10 uM standard,7.637,0,Standard
10 uM standard,7.642,0,Standard
10 uM standard,7.648,0,Standard
10 uM standard,7.653,0,Standard
10 uM standard,7.659,0,Standard
10 uM standard,7.664,0,Standard
10 uM standard,7.67,0,Standard
10 uM standard,7.675,580.53125,Standard
10 uM standard,7.681,0,Standard
10 uM standard,7.686,0,Standard
10 uM standard,7.692,1212.831055,Standard
10 uM standard,7.697,1233.507813,Standard
10 uM standard,7.703,2272.618652,Standard
10 uM standard,7.708,3980.113281,Standard
10 uM standard,7.713,6138.348145,Standard
10 uM standard,7.719,9391.373047,Standard
10 uM standard,7.724,12911.67969,Standard
10 uM standard,7.73,18203.75586,Standard
10 uM standard,7.735,25143.13281,Standard
10 uM standard,7.741,36376.16016,Standard
10 uM standard,7.746,43646.51953,Standard
10 uM standard,7.752,50006.35156,Standard
10 uM standard,7.757,54556.26563,Standard
10 uM standard,7.763,49497.87891,Standard
10 uM standard,7.768,48248.04297,Standard
10 uM standard,7.774,42664.32813,Standard
10 uM standard,7.779,33701.34375,Standard
10 uM standard,7.785,27073.58203,Standard
10 uM standard,7.79,18221.00391,Standard
10 uM standard,7.796,14524.4541,Standard
10 uM standard,7.801,8701.079102,Standard
10 uM standard,7.807,7998.799316,Standard
10 uM standard,7.812,5472.84375,Standard
10 uM standard,7.818,3793.92041,Standard
10 uM standard,7.823,3441.717773,Standard
10 uM standard,7.829,1935.550171,Standard
10 uM standard,7.834,1747.796875,Standard
10 uM standard,7.84,0,Standard
10 uM standard,7.845,743.586792,Standard
10 uM standard,7.85,931.2249756,Standard
10 uM standard,7.856,946.7902222,Standard
10 uM standard,7.861,738.1428833,Standard
10 uM standard,7.867,661.3912964,Standard
10 uM standard,7.872,854.9252319,Standard
10 uM standard,7.878,0,Standard
10 uM standard,7.883,668.3674316,Standard
10 uM standard,7.889,0,Standard
10 uM standard,7.894,0,Standard
10 uM standard,7.9,0,Standard
10 uM standard,7.905,0,Standard
10 uM standard,7.911,0,Standard
10 uM standard,7.916,0,Standard
10 uM standard,7.922,0,Standard
10 uM standard,7.927,0,Standard
10 uM standard,7.933,0,Standard
10 uM standard,7.938,0,Standard
10 uM standard,7.944,0,Standard
10 uM standard,7.949,0,Standard
10 uM standard,7.955,0,Standard
10 uM standard,7.96,0,Standard
10 uM standard,7.966,0,Standard
10 uM standard,7.971,0,Standard
10 uM standard,7.976,0,Standard
10 uM standard,7.982,0,Standard
10 uM standard,7.987,0,Standard
10 uM standard,7.993,0,Standard
10 uM standard,7.998,0,Standard
1 uM standard,7.602,0,Standard
1 uM standard,7.608,0,Standard
1 uM standard,7.613,0,Standard
1 uM standard,7.619,0,Standard
1 uM standard,7.624,0,Standard
1 uM standard,7.63,0,Standard
1 uM standard,7.635,0,Standard
1 uM standard,7.641,0,Standard
1 uM standard,7.646,0,Standard
1 uM standard,7.652,0,Standard
1 uM standard,7.657,0,Standard
1 uM standard,7.663,0,Standard
1 uM standard,7.668,0,Standard
1 uM standard,7.674,0,Standard
1 uM standard,7.679,0,Standard
1 uM standard,7.685,0,Standard
1 uM standard,7.69,0,Standard
1 uM standard,7.696,0,Standard
1 uM standard,7.701,444.4464417,Standard
1 uM standard,7.707,0,Standard
1 uM standard,7.712,919.0874634,Standard
1 uM standard,7.717,1529.840942,Standard
1 uM standard,7.723,1550.350708,Standard
1 uM standard,7.728,1885.55896,Standard
1 uM standard,7.734,1830.395386,Standard
1 uM standard,7.739,3819.640625,Standard
1 uM standard,7.745,3932.360352,Standard
1 uM standard,7.75,5401.617188,Standard
1 uM standard,7.756,6236.679199,Standard
1 uM standard,7.761,5957.915527,Standard
1 uM standard,7.767,5615.367188,Standard
1 uM standard,7.772,5405.071777,Standard
1 uM standard,7.778,4282.813965,Standard
1 uM standard,7.783,3292.031494,Standard
1 uM standard,7.789,2904.773682,Standard
1 uM standard,7.794,2382.219238,Standard
1 uM standard,7.8,1791.891235,Standard
1 uM standard,7.805,1365.003174,Standard
1 uM standard,7.811,0,Standard
1 uM standard,7.816,993.8282471,Standard
1 uM standard,7.822,0,Standard
1 uM standard,7.827,0,Standard
1 uM standard,7.833,0,Standard
1 uM standard,7.838,0,Standard
1 uM standard,7.844,0,Standard
1 uM standard,7.849,0,Standard
1 uM standard,7.854,0,Standard
1 uM standard,7.86,0,Standard
1 uM standard,7.865,0,Standard
1 uM standard,7.871,0,Standard
1 uM standard,7.876,0,Standard
1 uM standard,7.882,0,Standard
1 uM standard,7.887,0,Standard
1 uM standard,7.893,0,Standard
1 uM standard,7.898,0,Standard
1 uM standard,7.904,574.625,Standard
1 uM standard,7.909,0,Standard
1 uM standard,7.915,0,Standard
1 uM standard,7.92,0,Standard
1 uM standard,7.926,0,Standard
1 uM standard,7.931,0,Standard
1 uM standard,7.937,0,Standard
1 uM standard,7.942,0,Standard
1 uM standard,7.948,0,Standard
1 uM standard,7.953,0,Standard
1 uM standard,7.959,0,Standard
1 uM standard,7.964,0,Standard
1 uM standard,7.97,0,Standard
1 uM standard,7.975,0,Standard
1 uM standard,7.98,0,Standard
1 uM standard,7.986,0,Standard
1 uM standard,7.991,0,Standard
1 uM standard,7.997,0,Standard
